



,,[10]
,[0], 1,2






,[1], 0,0






,[2], 0,0






,[318], 0,0






,[319], 0,0






,[320], 1,2






,[321], 0,0






,[322], 99,99






,[323], 0,0






,[324], 0,0






,[325], 0,0






,[326], 1,6






,[327], 0,0






,[328], 0,0






,[329], 0,0






,[330], 0,0






,[331], 0,0






,[332], 0,0






,[333], 0,0






,[334], 0,0






,[335], 0,0






,[336], 0,0






,[337], 0,0






,[338], 0,0






,[339], 0,0






,[340], 0,0






,[341], 0,0






,[342], 0,0






,[343], 0,0






,[344], 0,0






,[345], 0,0






,[346], 0,0






,[347], 0,0






,[348], 0,0






,[349], 0,0






,[350], 0,0






,[351], 0,0






,[352], 1,2






,[353], 0,0






,[354], 0,0






,[355], 99,99






,[356], 1,2






,[357], 3,5






,[358], 1,1






,[359], 3,3






,[360], 0,0






,[361], 0,0






,[362], 0,0






,[363], 0,0






,[364], 0,0






,[365], 0,0






,[366], 0,0






,[367], 0,0






,[368], 0,0






,[369], 0,0






,[370], 99,99






,[371], 0,0






,[372], 0,0






,[373], 0,0






,[374], 0,0






,[375], 0,0






,[376], 0,0






,[377], 0,0






,[378], 0,0






,[379], 0,0






,[380], 0,0






,[381], 0,0






,[382], 0,0






,[383], 0,0






,[384], 3,5






,[385], 0,0






,[386], 0,0






,[387], 99,99






,[388], 4,5






,[389], 5,7






,[390], 3,8






,[391], 4,8






,[392], 99,99






,[393], 3,6






,[394], 0,0






,[395], 0,0






,[396], 0,0






,[397], 0,0






,[398], 0,0






,[399], 0,0






,[400], 0,0






,[401], 0,0






,[402], 0,0






,[403], 0,0






,[404], 3,3






,[405], 5,5






,[406], 1,1






,[407], 1,5






,[408], 5,5






,[409], 99,99






,[410], 0,0






,[411], 0,0






,[412], 0,0






,[413], 0,0






,[414], 1,1






,[415], 1,1






,[416], 99,99






,[417], 0,0






,[418], 0,0






,[419], 99,99






,[420], 99,99






